acronym,meaning
A,analog
A,analog signal
A&A,advertise and award
A&CO,activation and checkout
A&COTA,assembly and checkout technical analysis
A&E,architects and engineers
A&E,architectural and engineering
A&L,approach and landing
A&P,airframe and power plant
A&P,attitude and pointing
A&PS,Administration and Program Support (MSFC directorate)
A&R,assembly and recycle
A&R,automation and robotics
A&RC,application and resource control
A&S,alignment and stabilization
A&SS,alignment and stabilization subsystem
A&T,assembly and test
A&TA,assembly and test area
A-G,air-to-ground
A/A,air-to-air
A/A,airplane avionics
A/A,analog-to-analog
A/A,angular accelerometer
A/B,airborne
A/C,air conditioning
A/C,aircraft
A/C,associate contractor
A/D,analog-to-digital
A/F,air-to-fuel ratio
A/F,airframe
A/FM,arm firing mechanism
A/G,air-to-ground
A/J,antijam
A/L,airlock
A/L,approach and landing
A/L,autoland
A/M,area to mass
A/M,auto/manual
A/N,account name
A/N,alphanumeric
A/O,analog output
A/P,airport
A/P,autopilot
A/R,as required
A/R,autoland roll-out
A/S,acquisition sensor
A/S,airspeed
A/S,arm/safe
A/S,ascent stage
A/S,auxiliary stage
AA,accelerated assembly
AA,associate administrator
AA,accelerometer assembly
AA,affirmative action
AA,air-to-air
AA,airplane avionics
AA,American Airlines
AA,angular accelerometer
AA,antiaircraft
AA,Associate of Arts degree
AA/AL,airplane avionics/autoland
AA/AL,automatic approach/autoland
AAA,"allocations, assessments, and analysis"
AAA,astronaut-actuated abort
AABNCP,Advanced Airborne National Command Post
AACCS,analytical approach to candidate constellation selection
AACPSM,actual average cost per successful mission
AACS,attitude and antenna control system
AADEW,attack assessment for directed-energy weapon
AADR,applications approval design review
AADS,ascent air data system
AADSF,advanced automated directional solidification furnace
AAE,abort advisory equipment
AAE,aerospace auxiliary equipment
AAE,American Association of Engineers
AAFE,advanced applications flight equipment
AAIR,advanced atmospheric sounder and imaging radiometer
AAMP,advanced architecture microprocessor
AAMRAM,air-to-air medium-range missile
AAO,Astronaut Activities Office (JSC)
AAP,Affirmative Action Plan
AAP,Affirmative Action Program
